,X,Y,Z,U,V,W
1 days 08:20:00,-5536.503134554599,-4115.805065146255,587.8105598162311,3.150366035517918,-3.3695131059191317,6.031194363770874
1 days 08:21:40,-5188.841337282426,-4427.359169890063,1186.1769131911274,3.7958957217214215,-2.8553231592009634,5.924128717378505
1 days 08:23:20,-4778.844275163066,-4685.726265419548,1770.2544892216604,4.395808089001805,-2.3068464620817184,5.745704305266095
1 days 08:25:00,-4311.44208473239,-4887.806700429257,2333.008588042767,4.942844612458179,-1.7307308148639942,5.498098726540048
1 days 08:26:40,-3792.257831663834,-5031.183274370094,2867.6659625412,5.4304057947959485,-1.1339548717280792,5.184338865688158
1 days 08:28:20,-3227.5390216109095,-5114.149260158749,3367.795958232252,5.852630917739033,-0.5237393351805414,4.8082592275867935
1 days 08:30:00,-2624.078376651357,-5135.728347960006,3827.39037038424,6.20446954889159,0.09254761559662053,4.374447805563734
1 days 08:31:40,-1989.1316894613299,-5095.684566320057,4240.934202748663,6.481737883649472,0.7074813671282791,3.888184861094725
1 days 08:33:20,-1330.3268022730558,-4994.523284382708,4603.472846502102,6.6811650038519055,1.3136746334275384,3.355371318406807
1 days 08:35:00,-655.5726586947616,-4833.483208656023,4910.669117054697,6.800424630711667,1.9038647725013254,2.782453818146094
1 days 08:36:40,27.03842983852345,-4614.5191716788195,5158.854865089438,6.838156262822542,2.4710014383697563,2.1763416799471837
1 days 08:38:20,709.3257182372047,-4340.277401816532,5345.072125047687,6.793973719248864,3.008326043681851,1.5443238725924064
1 days 08:40:00,1383.119638637004,-4014.061689069608,5467.107423465088,6.668463282651545,3.509449996296889,0.8939798117775876
1 days 08:41:40,2040.3563324276076,-3639.7937501043016,5523.515892469871,6.463171654743452,3.9684241168255676,0.23309262803885838
1 days 08:43:20,2673.1748131390527,-3221.9648378004467,5513.637452741266,6.180583796643724,4.379805859855861,-0.43044243023589407
1 days 08:45:00,3274.0072429233774,-2765.5833120580164,5437.6034637439,5.824092773119821,4.738717793227128,-1.0887056099660568
1 days 08:46:40,3835.669599322714,-2276.1141776353084,5296.334632814744,5.397959543875355,5.0409029210291125,-1.733843999422193
1 days 08:48:20,4351.4453322868485,-1759.4150865641784,5091.529864792063,4.907265241106934,5.282772161251172,-2.358159529203756
1 days 08:50:00,4815.164096606488,-1221.6680841846241,4825.6467523082165,4.357855618919636,5.4614458792112455,-2.9541959718191135
1 days 08:51:40,5221.276398816269,-669.3053566985449,4501.872367100976,3.75627507202199,5.574789440549932,-3.51482676953455
