,lat,lon,alt
103,-5.093664972605579,73.40886893825459,555.1147411141683
104,-10.0731837831442,69.98829211951212,555.3494929073322
105,-15.006467571040556,66.44790388108686,555.482538688706
106,-19.86757991808361,62.7216751516973,555.5164289407985
107,-24.62632408715399,58.735759649183564,555.4562563861618
108,-29.246268190538977,54.405978588561766,555.3093328205478
109,-33.68235481476994,49.63590425353081,555.0847878636741
110,-37.87801468914178,44.31675959431061,554.7931099027237
111,-41.76204811310836,38.331352600442244,554.4456494046499
112,-45.24592798292322,31.565953343653092,554.0541107208865
113,-48.223214296291566,23.935035741517623,553.6300523864575
114,-50.573891782234455,15.421949383734216,553.1844231039386
115,-52.17706524425336,6.128424600480116,552.7271494874822
116,-52.932973488465905,-3.6928838566821582,552.2667990895543
117,-52.78856416106567,-13.660484137301353,551.8103276049005
